timestamp,topicCount,consumerCount,queueCount,producerCount,sessionCount,connectionCount,durableCount,msgMem,diskReadRate,diskWriteRate,syncDBSize,asyncDBSize,pendingMessageCount,pendingMessageSize,outboundMessageCount,inboundMessageCount,inboundMessageRate,outboundMessageRate,routeRecoverCount,diskReadOperationsRate,outboundBytesRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,RespTime
Wed Feb 21 16:20:20 280 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2314,2315,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:20:50 293 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2316,2317,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:21:20 296 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2318,2319,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:21:50 309 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2320,2321,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:22:20 313 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2322,2323,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:22:50 328 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2324,2325,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:23:20 340 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2326,2327,0,0,0,0,0,0,0,53248,7
Wed Feb 21 16:23:50 344 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2328,2329,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:24:20 365 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2330,2331,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:24:50 379 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2332,2333,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:25:20 385 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2334,2335,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:25:50 401 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2336,2337,0,0,0,0,0,0,0,53248,2
Wed Feb 21 16:26:20 410 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2338,2339,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:26:50 423 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2340,2341,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:27:20 435 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2342,2343,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:27:50 438 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2344,2345,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:28:20 446 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2346,2347,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:28:50 460 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2348,2349,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:29:20 468 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2350,2351,0,0,0,0,0,0,0,53248,1
