timestamp,inboundMessageCount,pendingMessageCount,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,topicCount,queueCount,consumerCount,producerCount,sessionCount,asyncDBSize,diskReadRate,durableCount,msgMem,syncDBSize,connectionCount,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 22 11:28:49 209 CST 2024,347,6,0,6574,346,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:29:19 219 CST 2024,350,6,0,6574,349,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:29:49 238 CST 2024,353,6,0,6574,352,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:30:19 255 CST 2024,356,6,0,6574,355,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:30:49 270 CST 2024,359,6,0,6574,358,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:31:19 282 CST 2024,362,6,0,6574,361,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:31:49 293 CST 2024,365,6,0,6574,364,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:32:19 310 CST 2024,368,6,0,6574,367,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:32:49 312 CST 2024,371,6,0,6574,370,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:33:19 327 CST 2024,374,6,0,6574,373,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,0
Thu Feb 22 11:33:49 337 CST 2024,377,6,0,6574,376,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:34:19 351 CST 2024,380,6,0,6574,379,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,5
Thu Feb 22 11:34:49 366 CST 2024,383,6,0,6574,382,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:35:19 382 CST 2024,386,6,0,6574,385,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,6
Thu Feb 22 11:35:49 387 CST 2024,389,6,0,6574,388,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:36:19 393 CST 2024,392,6,0,6574,391,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:36:49 406 CST 2024,395,6,0,6574,394,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:37:19 419 CST 2024,398,6,0,6574,397,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:37:49 437 CST 2024,401,6,0,6574,400,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:38:19 447 CST 2024,404,6,0,6574,403,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:38:49 455 CST 2024,407,6,0,6574,406,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:39:19 467 CST 2024,410,6,0,6574,409,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:39:49 477 CST 2024,413,6,0,6574,412,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
