timestamp,connectionCount,consumerCount,queueCount,topicCount,producerCount,outboundMessageRate,outboundMessageCount,pendingMessageSize,inboundMessageRate,pendingMessageCount,inboundMessageCount,msgMem,diskWriteRate,sessionCount,diskReadRate,asyncDBSize,durableCount,syncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,RespTime
Mon Feb 12 16:46:03 768 CST 2024,3,4,9,7,2,0,329,0,0,0,330,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:46:33 779 CST 2024,3,4,9,7,2,0,332,0,0,0,333,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:47:03 825 CST 2024,3,4,9,7,2,0,335,0,0,0,336,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:47:33 838 CST 2024,3,4,9,7,2,0,338,0,0,0,339,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:48:03 871 CST 2024,3,4,9,7,2,0,341,0,0,0,342,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:48:33 884 CST 2024,3,4,9,7,2,0,344,0,0,0,345,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:49:03 914 CST 2024,4,5,10,7,4,0,355,0,0,0,356,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,14
Mon Feb 12 16:49:33 933 CST 2024,4,5,10,7,4,0,358,0,0,0,359,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,3
Mon Feb 12 16:50:03 945 CST 2024,4,5,10,7,4,0,361,0,0,0,362,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,6
Mon Feb 12 16:50:33 951 CST 2024,4,5,10,7,4,0,364,0,0,0,365,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,0
Mon Feb 12 16:51:03 953 CST 2024,4,5,10,7,4,0,367,0,0,0,368,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:51:33 957 CST 2024,4,5,10,7,4,0,370,0,0,0,371,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:52:03 969 CST 2024,4,5,10,7,4,0,373,0,0,0,374,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,10
Mon Feb 12 16:52:33 978 CST 2024,4,5,10,7,4,0,380,0,0,0,381,27848,0,6,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:53:03 994 CST 2024,5,6,10,8,4,0,385,0,0,0,386,32512,0,7,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:53:34 006 CST 2024,5,6,10,8,4,0,393,0,0,0,394,32512,0,7,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:54:04 034 CST 2024,5,6,10,8,4,0,401,0,0,0,402,32512,0,7,0,3584,0,1536,53248,134,0,0,0,193,1
Mon Feb 12 16:54:34 038 CST 2024,5,6,10,8,4,0,408,0,0,0,409,32512,0,7,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:55:04 047 CST 2024,5,6,10,8,4,0,416,0,0,0,417,32512,0,7,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:55:34 051 CST 2024,5,6,10,8,4,0,424,0,0,0,425,32512,0,7,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:56:04 069 CST 2024,5,5,10,8,3,0,432,0,0,0,433,32219,0,6,0,3584,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:56:34 078 CST 2024,5,5,10,8,3,0,440,0,0,0,441,32219,0,6,0,3584,0,1536,53248,136,0,0,0,196,2
Mon Feb 12 16:57:04 147 CST 2024,5,6,10,8,5,0,457,0,0,0,455,33908,0,9,0,3072,0,1536,53248,0,0,0,0,0,49
Mon Feb 12 16:57:34 161 CST 2024,5,6,10,8,5,0,465,0,0,0,463,33908,0,9,0,3072,0,1536,53248,135,0,0,0,219,2
Mon Feb 12 16:58:04 183 CST 2024,5,6,10,8,5,0,473,0,0,0,471,33908,0,9,0,3072,0,1536,53248,137,0,0,0,221,2
Mon Feb 12 16:58:34 200 CST 2024,5,6,10,8,5,0,481,0,0,0,479,33908,0,9,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:59:04 217 CST 2024,5,6,10,8,5,0,488,0,0,0,486,33908,0,9,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:59:34 238 CST 2024,5,5,10,8,4,0,496,0,0,0,494,33615,0,8,0,3072,0,1536,53248,136,0,0,0,220,2
Mon Feb 12 17:00:04 255 CST 2024,5,5,10,8,4,0,504,0,0,0,502,33615,0,8,0,3072,0,1536,53248,267,0,0,0,433,1
Mon Feb 12 17:00:34 269 CST 2024,5,5,9,8,4,0,512,0,0,0,510,33615,0,8,0,3072,0,1536,53248,135,0,0,0,219,2
Mon Feb 12 17:01:04 332 CST 2024,5,5,9,8,4,0,519,0,0,0,517,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:01:34 337 CST 2024,5,5,9,8,4,0,527,0,0,0,525,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:02:04 347 CST 2024,5,5,9,8,4,0,535,0,0,0,533,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 17:02:34 351 CST 2024,5,5,9,8,4,0,543,0,0,0,541,33615,0,8,0,3072,0,1536,53248,135,0,0,0,219,1
Mon Feb 12 17:03:04 358 CST 2024,5,5,9,8,4,0,550,0,0,0,548,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 17:03:34 374 CST 2024,5,5,9,8,4,0,558,0,0,0,556,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,0
Mon Feb 12 17:04:04 398 CST 2024,5,5,9,8,4,0,566,0,0,0,564,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:04:34 412 CST 2024,5,5,9,8,4,0,574,0,0,0,572,33615,0,8,0,3072,0,1536,53248,135,0,0,0,219,7
Mon Feb 12 17:05:04 426 CST 2024,5,5,9,8,4,0,582,0,0,0,580,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:05:34 441 CST 2024,5,5,9,8,4,0,589,0,0,0,587,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,6
Mon Feb 12 17:06:04 456 CST 2024,5,5,9,8,4,0,597,0,0,0,595,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,0
Mon Feb 12 17:06:34 471 CST 2024,5,5,9,8,4,0,605,0,0,0,603,33615,0,8,0,3072,0,1536,53248,136,0,0,0,220,0
Mon Feb 12 17:07:04 498 CST 2024,5,5,9,8,4,0,613,0,0,0,611,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,10
Mon Feb 12 17:07:34 522 CST 2024,5,5,9,8,4,0,620,0,0,0,618,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 17:08:04 538 CST 2024,5,5,9,8,4,0,628,0,0,0,626,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:08:34 561 CST 2024,5,5,9,8,4,0,636,0,0,0,634,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 17:09:04 571 CST 2024,5,5,9,8,4,0,644,0,0,0,642,33615,0,8,0,3072,0,1536,53248,137,0,0,0,221,0
Mon Feb 12 17:09:34 578 CST 2024,5,5,9,8,4,0,652,0,0,0,650,33615,0,8,0,3072,0,1536,53248,270,0,0,0,437,4
Mon Feb 12 17:10:04 599 CST 2024,5,5,9,8,4,0,659,0,0,0,657,33615,0,8,0,3072,0,1536,53248,0,0,0,0,0,1
