timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 12:31:56 552 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,936,0,0,935,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:32:26 555 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,939,0,0,938,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:32:56 560 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,942,0,0,941,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:33:26 564 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,945,0,0,944,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:33:56 568 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,948,0,0,947,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:34:26 573 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,951,0,0,950,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:34:56 577 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,954,0,0,953,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:35:26 581 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,957,0,0,956,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:35:56 585 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,960,0,0,959,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:36:26 588 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,963,0,0,962,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:36:56 592 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,966,0,0,965,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:37:26 596 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,969,0,0,968,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:37:56 600 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,972,0,0,971,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:38:26 603 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,975,0,0,974,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:38:56 608 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,978,0,0,977,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:39:26 612 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,981,0,0,980,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:39:56 616 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,984,0,0,983,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:40:26 620 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,987,0,0,986,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:40:56 624 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,990,0,0,989,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:41:26 625 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,993,0,0,992,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:41:56 628 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,996,0,0,995,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:42:26 632 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,999,0,0,998,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:42:56 635 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1002,0,0,1001,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:43:26 640 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1005,0,0,1004,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:43:56 643 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1008,0,0,1007,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:44:26 648 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1011,0,0,1010,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:44:56 652 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1014,0,0,1013,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:45:26 656 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1017,0,0,1016,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:45:56 661 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1020,0,0,1019,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:46:26 665 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1023,0,0,1022,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:46:56 669 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1026,0,0,1025,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:47:26 673 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1029,0,0,1028,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:47:56 677 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,1032,0,0,1031,0,53248,0,0,0,0,-1,-1,0,2
