timestamp,largeDestCount,inboundMessageRate,pendingMessageSize,connectionCount,inboundMessageCount,outboundMessageRate,pendingMessageCount,outboundMessageCount,sessionCount,durableCount,diskWriteRate,asyncDBSize,syncDBSize,diskReadRate,msgMem,queueCount,producerCount,topicCount,consumerCount,msgMemPooled,routeRecoverCount,outboundBytesRate,diskReadOperationsRate,clientConnectionCount,inboundBytesRate,adminConnectionCount,diskWriteOperationsRate,RespTime
Tue Sep 03 13:25:59 450 BST 2019,0,0,0,2,3533,0,0,3532,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:26:29 455 BST 2019,0,0,0,2,3536,0,0,3535,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:26:59 458 BST 2019,0,0,0,2,3539,0,0,3538,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:27:29 461 BST 2019,0,0,0,2,3542,0,0,3541,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:27:59 464 BST 2019,0,0,0,2,3545,0,0,3544,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:28:29 467 BST 2019,0,0,0,2,3548,0,0,3547,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:28:59 472 BST 2019,0,0,0,2,3551,0,0,3550,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:29:29 485 BST 2019,0,0,0,2,3554,0,0,3553,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:29:59 489 BST 2019,0,0,0,2,3557,0,0,3556,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:30:29 494 BST 2019,0,0,0,2,3560,0,0,3559,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:30:59 497 BST 2019,0,0,0,2,3563,0,0,3562,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:31:29 500 BST 2019,0,0,0,2,3566,0,0,3565,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:31:59 503 BST 2019,0,0,0,2,3569,0,0,3568,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:32:29 507 BST 2019,0,0,0,2,3572,0,0,3571,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:32:59 521 BST 2019,0,0,0,2,3575,0,0,3574,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:33:29 525 BST 2019,0,0,0,2,3578,0,0,3577,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:33:59 529 BST 2019,0,0,0,2,3581,0,0,3580,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:34:29 533 BST 2019,0,0,0,2,3584,0,0,3583,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:34:59 537 BST 2019,0,0,0,2,3587,0,0,3586,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:35:29 542 BST 2019,0,0,0,2,3590,0,0,3589,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
